source,target,acc,precision,recall,F1,mcc,auc,TN,TP,FP,FN,rate,lr
camel,ant,0.744 ,0.413 ,0.235 ,0.300 ,0.167 ,0.568 ,1628,129,183,420,0.4,0.001
jedit,ant,0.787 ,0.607 ,0.584 ,0.595 ,0.451 ,0.786 ,514,128,83,91,0.55,0.001
lucene,ant,0.638 ,0.780 ,0.529 ,0.630 ,0.323 ,0.697 ,247,231,65,206,0.35,0.001
poi,ant,0.653 ,0.763 ,0.660 ,0.708 ,0.292 ,0.687 ,246,442,137,228,0.3,0.001
velocity,ant,0.559 ,0.676 ,0.447 ,0.538 ,0.161 ,0.619 ,192,163,78,202,0.35,0.001
xalan,ant,0.658 ,0.557 ,0.606 ,0.581 ,0.293 ,0.694 ,967,544,433,353,0.4,0.001
ant,camel,0.778 ,0.521 ,0.619 ,0.566 ,0.421 ,0.791 ,796,182,167,112,0.55,0.001
jedit,camel,0.733 ,0.502 ,0.571 ,0.534 ,0.349 ,0.774 ,473,125,124,94,0.6,0.001
lucene,camel,0.571 ,0.774 ,0.375 ,0.505 ,0.242 ,0.670 ,264,164,48,273,0.6,0.001
poi,camel,0.606 ,0.803 ,0.504 ,0.620 ,0.283 ,0.713 ,300,338,83,332,0.55,0.001
velocity,camel,0.572 ,0.672 ,0.499 ,0.572 ,0.169 ,0.628 ,181,182,89,183,0.45,0.001
xalan,camel,0.625 ,0.516 ,0.644 ,0.573 ,0.250 ,0.652 ,857,578,543,319,0.5,0.001
ant,jedit,0.790 ,0.548 ,0.582 ,0.564 ,0.426 ,0.799 ,822,171,141,123,0.55,0.001
camel,jedit,0.749 ,0.426 ,0.226 ,0.295 ,0.172 ,0.613 ,1644,124,167,425,0.4,0.001
lucene,jedit,0.642 ,0.722 ,0.629 ,0.672 ,0.286 ,0.701 ,206,275,106,162,0.3,0.001
poi,jedit,0.726 ,0.726 ,0.916 ,0.810 ,0.376 ,0.676 ,151,614,232,56,0.35,0.001
velocity,jedit,0.627 ,0.695 ,0.625 ,0.658 ,0.252 ,0.655 ,170,228,100,137,0.45,0.001
xalan,jedit,0.680 ,0.620 ,0.467 ,0.533 ,0.304 ,0.704 ,1143,419,257,478,0.6,0.001
ant,lucene,0.790 ,0.547 ,0.588 ,0.567 ,0.429 ,0.746 ,820,173,143,121,0.55,0.001
camel,lucene,0.717 ,0.372 ,0.317 ,0.342 ,0.164 ,0.600 ,1517,174,294,375,0.45,0.001
jedit,lucene,0.787 ,0.607 ,0.584 ,0.595 ,0.451 ,0.789 ,514,128,83,91,0.6,0.001
poi,lucene,0.721 ,0.716 ,0.930 ,0.809 ,0.362 ,0.694 ,136,623,247,47,0.3,0.001
velocity,lucene,0.628 ,0.660 ,0.729 ,0.693 ,0.227 ,0.629 ,133,266,137,99,0.35,0.001
xalan,lucene,0.681 ,0.628 ,0.450 ,0.525 ,0.304 ,0.694 ,1161,404,239,493,0.55,0.001
ant,poi,0.730 ,0.447 ,0.663 ,0.534 ,0.367 ,0.760 ,722,195,241,99,0.55,0.001
camel,poi,0.662 ,0.338 ,0.470 ,0.393 ,0.172 ,0.624 ,1305,258,506,291,0.5,0.001
jedit,poi,0.614 ,0.399 ,0.868 ,0.547 ,0.349 ,0.800 ,311,190,286,29,0.4,0.001
lucene,poi,0.650 ,0.711 ,0.675 ,0.692 ,0.288 ,0.697 ,192,295,120,142,0.4,0.001
velocity,poi,0.625 ,0.658 ,0.723 ,0.689 ,0.221 ,0.646 ,133,264,137,101,0.3,0.001
xalan,poi,0.657 ,0.555 ,0.609 ,0.581 ,0.292 ,0.695 ,962,546,438,351,0.6,0.001
ant,velocity,0.798 ,0.618 ,0.357 ,0.453 ,0.359 ,0.756 ,898,105,65,189,0.55,0.001
camel,velocity,0.744 ,0.413 ,0.235 ,0.300 ,0.167 ,0.632 ,1628,129,183,420,0.5,0.001
jedit,velocity,0.733 ,0.502 ,0.676 ,0.576 ,0.396 ,0.748 ,450,148,147,71,0.55,0.001
lucene,velocity,0.657 ,0.662 ,0.840 ,0.741 ,0.270 ,0.691 ,125,367,187,70,0.35,0.001
poi,velocity,0.736 ,0.762 ,0.851 ,0.804 ,0.409 ,0.746 ,205,570,178,100,0.45,0.001
xalan,velocity,0.658 ,0.557 ,0.606 ,0.581 ,0.293 ,0.656 ,967,544,433,353,0.55,0.001
ant,xalan,0.728 ,0.451 ,0.755 ,0.565 ,0.412 ,0.798 ,693,222,270,72,0.5,0.001
camel,xalan,0.717 ,0.372 ,0.317 ,0.342 ,0.164 ,0.579 ,1517,174,294,375,0.3,0.001
jedit,xalan,0.784 ,0.614 ,0.530 ,0.569 ,0.428 ,0.790 ,524,116,73,103,0.6,0.001
lucene,xalan,0.637 ,0.796 ,0.508 ,0.620 ,0.332 ,0.713 ,255,222,57,215,0.45,0.001
poi,xalan,0.629 ,0.770 ,0.594 ,0.671 ,0.273 ,0.704 ,264,398,119,272,0.45,0.001
velocity,xalan,0.628 ,0.660 ,0.729 ,0.693 ,0.227 ,0.610 ,133,266,137,99,0.35,0.001
Avg,,0.687 ,0.598 ,0.579 ,0.575 ,0.299 ,0.696 ,,,,,0.462 ,0.001
